区分,都道府県,名称,訪問レベル
市区町村,北海道,札幌市,4
市区町村,北海道,函館市,4
市区町村,北海道,小樽市,3
市区町村,北海道,旭川市,4
市区町村,北海道,室蘭市,4
市区町村,北海道,釧路市,4
市区町村,北海道,帯広市,3
市区町村,北海道,北見市,3
市区町村,北海道,夕張市,3
市区町村,北海道,岩見沢市,1
市区町村,北海道,網走市,3
市区町村,北海道,留萌市,1
市区町村,北海道,苫小牧市,3
市区町村,北海道,稚内市,4
市区町村,北海道,美唄市,3
市区町村,北海道,芦別市,0
市区町村,北海道,江別市,0
市区町村,北海道,赤平市,0
市区町村,北海道,紋別市,0
市区町村,北海道,士別市,3
市区町村,北海道,名寄市,1
市区町村,北海道,三笠市,3
市区町村,北海道,根室市,4
市区町村,北海道,千歳市,3
市区町村,北海道,滝川市,3
市区町村,北海道,砂川市,1
市区町村,北海道,歌志内市,0
市区町村,北海道,深川市,3
市区町村,北海道,富良野市,3
市区町村,北海道,登別市,3
市区町村,北海道,恵庭市,3
市区町村,北海道,伊達市,3
市区町村,北海道,北広島市,1
市区町村,北海道,石狩市,1
市区町村,北海道,北斗市,1
市区町村,北海道,当別町,3
市区町村,北海道,新篠津村,3
市区町村,北海道,松前町,0
市区町村,北海道,福島町,1
市区町村,北海道,知内町,1
市区町村,北海道,木古内町,1
市区町村,北海道,七飯町,0
市区町村,北海道,鹿部町,0
市区町村,北海道,森町,0
市区町村,北海道,八雲町,0
市区町村,北海道,長万部町,0
市区町村,北海道,江差町,0
市区町村,北海道,上ノ国町,0
市区町村,北海道,厚沢部町,0
市区町村,北海道,乙部町,0
市区町村,北海道,奥尻町,0
市区町村,北海道,今金町,0
市区町村,北海道,せたな町,0
市区町村,北海道,島牧村,0
市区町村,北海道,寿都町,0
市区町村,北海道,黒松内町,0
市区町村,北海道,蘭越町,3
市区町村,北海道,ニセコ町,3
市区町村,北海道,真狩村,0
市区町村,北海道,留寿都村,3
市区町村,北海道,喜茂別町,3
市区町村,北海道,京極町,1
市区町村,北海道,倶知安町,3
市区町村,北海道,共和町,1
市区町村,北海道,岩内町,3
市区町村,北海道,泊村,3
市区町村,北海道,神恵内村,3
市区町村,北海道,積丹町,3
市区町村,北海道,古平町,1
市区町村,北海道,仁木町,0
市区町村,北海道,余市町,3
市区町村,北海道,赤井川村,0
市区町村,北海道,南幌町,0
市区町村,北海道,奈井江町,1
市区町村,北海道,上砂川町,0
市区町村,北海道,由仁町,3
市区町村,北海道,長沼町,1
市区町村,北海道,栗山町,1
